	상담사질문(요청)
82	중고차 구매이신가요?
104	인터넷 뱅킹 가입 되있으신가요?
123	저희 은행 고객이신가요?
125	인터넷뱅킹 이용도 하고 계신가요?
142	어떤 대출을 신청하셨나요?
148	또 궁금한 사항이 있으신가요?
161	네 고객님 현금서비스 관련 어떤 문의 주시겠어요?
166	선결제 수수료는 어떻게 계산되나요?
171	혹시 저희 은행 홈페이지에 가입하신 회원이신가요?
173	명세표는 받아보시고요?
193	대출하신지 얼마나 되셨나요?
195	대출 약정기간은 얼마동안이세요?
201	대출받아도 보험에서 보험금 수령이 가능한가요?
216	더 궁금하신건 없나요?
221	주택 종류가 어떻게 되시나요?
223	아파트 구입 관련 중도금이나 잔금 대출이신가요?
238	다른 문의사항 있으신가요?
241	마이너스 통장은 있으신가요?
270	지금 신청하도록 도와드릴까요?
272	우선 인터넷 뱅킹 접속하시겠어요?
281	네 대출관련 어떤 문의 주시겠어요?
283	가상계좌는 받으셨나요?
285	네 혹시 상환을 못하셔서 기존 가상계좌로 입금이 안되서 그러시나요?
295	중도에 전액상환하면 어떻게 되나요?
301	네 대출관련 무엇을 도와드릴까요?
303	직장에 근무하신지 얼마나 되셨나요?
307	대출 신청 서류는 뭐가 필요해요?
321	현재 학부생이신가요?
344	어떤 서류가 필요한가요?
347	법인인가요 개인사업자 이신가요?
350	아무 지점이나 가도 되나요?
355	다른 문의 있으신가요?
362	네 고객님 이자 선납 문의 주신 것 맞으신가요?
364	어떤 대출을 신청하셨나요?
366	원금도 상환하고 계신가요?
376	다른 문의사항 있으신가요?
420	네 올해 연령이 어떻게 되시나요?
427	얼마동안 근무하셨어요?
440	네 원활한 상담진행을 위해서 성함과 생년월일 말씀해주시겠어요?
442	개인정보동의를 위해 문자를 보신후 동의하시면 번호를 불러주세요
460	네 어떤 부분 문의주시겠어요?
464	등록하신지는 얼마나 되셨나요?
466	사업자금대출은 처음이신가요?
475	3등급 이하면 신청 자체가 안되는건가요?
520	네 어떤 부분이 궁금하신가요?
522	연봉이 어떻게 되시나요?
540	네 소상공인 대출관련 무엇이 궁금하신가요?
582	대출 실행하신지 얼마나 되셨나요?
584	대출만기는 언제이신가요?
601	네 현재 연체 중이신 건가요?
603	보유하신 대출 만기는 언제인가요?
605	연체된지 얼마나 되셨어요?
622	신청은 언제 하셨나요?
652	재직하신지 얼마나 되셨나요?
680	코로나로 매출이 줄었나요?
697	추가 문의사항이 있으신가요?
700	안녕하세요. 고객님. 저희 은행 연금에 가입되어 있으신가요?
702	납입 완료하셨나요?
723	출금 계좌 말씀해 주시겠어요?
725	000고객님 본인 맞으신가요?
735	지금 17만원 입금하면 이달 분은 상환된걸로 되나요?
740	출금 계좌와 고객님 성함 말씀해 주시겠어요?
742	ARS연결되면 비밀번호 4자리 입력해 주시겠어요?
744	000고객님 본인 맞으신가요?
761	ARS연결되면 주민번호 앞자리 입력해 주시겠어요?
763	거래 중이신 카드 비번번호 앞 두 자리 말씀해 주시겠어요?
765	000님 본인 맞으신가요?
775	출금할 계좌번호 말씀해 주시겠어요?
789	직장인이신가요?
803	이자 출금 계좌 말씀해 주시겠어요?
805	약관대출 받으신 내역이 궁금하시다는 건가요?
813	2018년에 받은 대출의 이율이 더 놓은데 그 건 먼저 상환하시는게 어떠신가요?
820	네 고객님, 현재 세대주 이신가요?
824	현재 나이가 어떻게 되시나요?
840	어떤내용이 궁금하신가요?
850	더 궁금하신 내용 있으신가요?
854	ARS로 연결되면 생년월일 입력해 주시겠어요?
860	대출하신 본인 성함 말씀해 주시겠어요?
862	생년월일이 어떻게 되시나요??
864	전화주신분 은 어떤관계 이신가요?
869	급여상환은 언제부터 되나요?
881	고객님 성함이 어떻게 되시나요?
883	보험료 이체계좌 말씀해 주시겠어요?
885	000고객님 본인 맞으신가요?
899	더 궁금하신 내용 있으신가요?
906	고객님 현재 구입하시려는 아파트를 담보로 하시는 거세요?
919	네 고객님 다른 문의사항 있으신가요?
922	나이는요?
924	직업과 수입이 있으신가요?
950	고객님 대출 얼마나 받으시려구요?
964	다른 곳에서 대출 받은게 있나요?
1043	네 가입자분 생년월일을 말해주시겠어요?
1045	개인정보 동의를 위해 보낸 문자 불러주시겠어요?
1082	성함과 생년월일 말해주시겠어요?
1084	방금 도착한 문자 확인 좀 해주세요
1086	제가 그쪽에 여러 개가 있는 것 같은데요
1098	그럼 고객님 걸로 보험 약관대출 받으시겠어요?
1102	지금 바로 하실려구요?
1164	고객님 성함과 생년월일 말해주시겠어요?
1166	문자가 하나 갔을겁니다.문자를 보신후 동의하시면 번호를 불러주세요
1188	공인인증서는 어디서 발급받았어요?
1222	학자금 대출 무엇을 도와드릴까요?
1248	결제일을 언제로 바꿔드릴까요?
