	상담사질문(요청)
7	기기간에 복사할 수 있는 방법이 있는데 안내해 드릴까요?
32	동일한 은행과 인터넷뱅킹을 하시나요? 다른 은행과 인터넷뱅킹을 하시나요?
57	혹시 다른 문의사항 있으신가요?
126	그 이전 내역이 필요하신가요?
149	인터넷뱅킹을 사용하시나요?
163	네~ 방문 하시는 분이 대표자 인가요, 대리인 이신가요?
178	혹시 다른 문의사항 있으신가요?
193	대리인 방문시 준비서류 안내해 드릴까요?
217	앱으로 등록하는 방법을 알려드릴까요?
221	기존에 등록된 OOO-OOOO-OOOO이 고객님 본인 휴대폰 번호인가요?
224	고객님의 어떤 계좌로 해드릴까요?
230	문자서비스 신청은 하셨나요?
234	고객님 명의로 카드가 확인되지 않습니다. 가족카드 신가요?
241	이 카드 사용시 거래내역을 문자로 받고 싶으시다는 건가요?
253	네 가능합니다. 인터넷뱅킹을 사용하시나요?
293	성함이 어떻게 되시나요?
296	조회를 원하시는 계좌의 계좌번호를 알려주십시요
301	고객님 주민번호 앞자리를 말씀해주세요.
304	고객님 연락처 OOO-OOO-다음 뒷번호를 말씀해주세요.
306	오늘자 잔액을 알려드리면 될까요?
309	더 필요하신 정보가 있습니까?
313	모바일 뱅킹을 말씀하시는 건가요?
315	모바일 뱅킹앱이 깔려 있으신가요?
320	구글플레이앱에서 OO은행을 찾아 주십시요.
333	인터넷 뱅킹 말씀하시는 건가요?
335	컴퓨터 앞에 계신가요?
345	개인회원이신가요? 기업회원이신가요?
348	상단 가운데 중간에 계좌에 마우스를 대시면 빠른잔액조회 메뉴가 보이시나요?
353	저희 은행 인터넷뱅킹 회원에 가입되어 있으신가요?
374	네 도와드리겠습니다. 혹시 인터넷 뱅킹은 가입 되셨나요?
376	컴퓨터 앞에 계신가요?
380	상단에 보시면 개인뱅킹 기업뱅킹이 보이시나요?
384	좌측 상단에 메뉴바가 보이시나요?
390	네 더 궁금한 점이 있으신가요?
397	핸드폰 번호가 어떻게 되시나요?
399	지금 고객님 명의로 된 저희 은행 계좌가 총 2건이 확인 되고 있는데요. 이중 어떤걸 계좌의 내역서가 필요하신가요?
402	거래내역 확인이 필요한 기간은 어떻게 되시나요?
406	네 그렇습니다. 내역은 어떻게 전해 드릴까요?
409	사용하고 계신 메일 주소가 OOOO맞으신가요?
413	OOO본인 맞으신가요? 주민번호 뒷자리 확인 부탁드립니다.
415	작년 전체 거래내역이 필요하신가요?
419	혹시 지금 인터넷 뱅킹이 사용가능하신가요?
422	먼저 모바일 뱅킹 로그인을 해 주십시요.
433	본인계좌 맞으신가요?
441	궁금하신 거래내역 기간이 언제이신가요?
446	혹시 모바일 뱅킹 사용하시나요?
453	통장정리가 안된 부분의 내역을 확인하고 싶으시다는 말씀이신가요?
456	통장정리가 필요하신가요?  거래내역 확인이 필요하신가요?
473	통장정리가 필요하신가요?   
476	혹시 궁금하신 기간이 정해져 있으신가요?
478	2018년 7월 1일부터 7월 31일까지 한달간 거래내역이 필요하신가요?
482	메일 혹은 팩스로 전달 가능합니다. 어디로 전달해 드릴까요?
486	받으실수 있는 팩스번호 알려 주세요.
493	본인 계좌 맞으신가요?
